difficulty,question_text,option_a,option_b,option_c,option_d,correct_index,imported_at
easy,Что в сигаретах вызывает зависимость?,Смола,Углекислый газ,Никотин,Табаковый дым,2,2026-05-19 07:51:06
easy,Сколько букв в немецком алфавите?,24,26,30,"26 (+ ä, ö, ü, ß отдельно)",3,2026-05-19 07:51:06
easy,В каком году распался СССР?,1989,1990,1991,1993,2,2026-05-19 07:51:06
easy,"Кто автор произведения ""Война и мир""?",Достоевский,Тургенев,Толстой,Чехов,2,2026-05-19 07:51:06
easy,Людей какой национальности больше всего в мире?,Индийцы,Американцы,Китайцы (ханьцы),Русские,2,2026-05-19 07:51:06
easy,Какого великого завоевателя называли коротким?,Александр Македонский,Наполеон Бонапарт,Чингисхан,Юлий Цезарь,1,2026-05-19 07:51:06
easy,Какой из городов не является европейским?,Париж,Рим,Берлин,Токио,3,2026-05-19 07:51:06
easy,Какой язык программирования считается самым легким?,C++,Java,Python,Assembly,2,2026-05-19 07:51:06
easy,Столица Украины?,Львов,Одесса,Харьков,Киев,3,2026-05-19 07:51:06
easy,На каком континенте впервые узнали о картошке?,Европа,Азия,Африка,Южная Америка,3,2026-05-19 07:51:06
easy,Химическая формула воды?,CO₂,H₂O,O₂,H₂O₂,1,2026-05-19 07:51:06
easy,Какой раздел математики изучает свойства чисел?,Геометрия,Алгебра,Теория чисел,Статистика,2,2026-05-19 07:51:06
easy,Какая из них не является дистрибутивом Linux?,Ubuntu,Fedora,Debian,Windows,3,2026-05-19 07:51:06
easy,Формула свободного падения (путь)?,s = vt,s = at,s = gt²,s = (gt²)/2,3,2026-05-19 07:51:06
easy,Какой раздел IT занимается защитой данных?,Веб-разработка,Геймдев,Кибербезопасность,Дизайн,2,2026-05-19 07:51:06
easy,Какие виды спорта относятся к легкой атлетике?,Бокс,Плавание,"Бег, прыжки, метание",Футбол,2,2026-05-19 07:51:06
easy,Чем не могут являться государственные символы стран?,Флаг,Герб,Гимн,Валюта,3,2026-05-19 07:51:06
easy,Что будет если смешать синюю и красную краску?,Зеленый,Желтый,Фиолетовый,Коричневый,2,2026-05-19 07:51:06
easy,В каком году закончилась ВОВ?,1943,1944,1945,1946,2,2026-05-19 07:51:06
easy,В чем измеряется скорость в системе СИ?,км/ч,м/с,м,с,1,2026-05-19 07:51:06
easy,Длина экватора Земли?,~10 000 км,~20 000 км,~40 075 км,~50 000 км,2,2026-05-19 07:51:06
easy,Сколько законов Ньютона существует?,2,3,4,5,1,2026-05-19 07:51:06
easy,Валюта во Франции?,Франк,Доллар,Евро,Фунт,2,2026-05-19 07:51:06
easy,Сколько стран в СНГ?,9,10,11,12,3,2026-05-19 07:51:06
easy,В каком году началась Первая мировая война?,1912,1913,1914,1915,2,2026-05-19 07:51:06
easy,Самый популярный спорт в мире?,Баскетбол,Крикет,Футбол,Теннис,2,2026-05-19 07:51:06
easy,Сколько у людей хромосом?,44,45,46,48,2,2026-05-19 07:51:06
easy,Сумма углов треугольника?,90°,180°,270°,360°,1,2026-05-19 07:51:06
easy,Какая компания владеет напитком Sprite?,PepsiCo,Nestlé,Coca-Cola Company,Red Bull,2,2026-05-19 07:51:06
easy,Благодаря чему функционирует огнестрельное оружие?,Давлению воздуха,Электричеству,Силе трения,Энергии пороховых газов,3,2026-05-19 07:51:06
easy,Когда основали ООН?,1941,1943,1945,1947,2,2026-05-19 07:51:06
easy,Кем был Ленин?,Писатель,Ученый,Российский революционер и политик,Генерал,2,2026-05-19 07:51:06
easy,Кто открыл Америку?,Магеллан,Колумб,Васко да Гама,Кук,1,2026-05-19 07:51:06
easy,Сколько планет в Солнечной системе?,7,8,9,10,1,2026-05-19 07:51:06
hard,Какой материк движется быстрее всех?,Африка,Евразия,Австралия,Антарктида,2,2026-05-19 07:51:06
hard,Какое понятие ввёл Макс Вебер?,Социальный дарвинизм,Харизма,Диалектика,Экзистенция,1,2026-05-19 07:51:06
hard,Какой код использовался для шифрования сообщений в нацистской Германии?,Цезарь,Энигма,Лоренц,Виженер,1,2026-05-19 07:51:06
hard,Какой орган НЕ относится к эндокринной системе?,Гипофиз,Надпочечники,Поджелудочная,Желчный пузырь,3,2026-05-19 07:51:06
hard,Какая звезда является ближайшей к Солнцу?,Сириус,Альфа Центавра A,Проксима Центавра,Звезда Барнарда,2,2026-05-19 07:51:06
hard,Какой труд НЕ принадлежит Никколо Макиавелли?,Государь,Рассуждения о первой декаде Тита Ливия,Утопия,История Флоренции,2,2026-05-19 07:51:06
hard,Что из перечисленного является квазичастицей?,Фотон,Магнон,Электрон,Протон,1,2026-05-19 07:51:06
hard,Какая страна имеет наибольшее количество часовых поясов?,США,Россия,Франция,Китай,2,2026-05-19 07:51:06
hard,Что означает термин «анамнез»?,Диагноз,История болезни,Симптом,Лечение,1,2026-05-19 07:51:06
hard,Какой договор юридически завершил Первую мировую войну для Германии?,Сен-Жерменский,Версальский,Трианонский,Нёйиский,1,2026-05-19 07:51:06
hard,Кто был реальным прототипом графа Дракулы?,Влад Цепеш,Маттиас Корвин,Стефан Великий,Ян Хуняди,0,2026-05-19 07:51:06
hard,Какая часть мозга отвечает за проприоцепцию?,Гиппокамп,Мозжечок,Таламус,Амигдала,1,2026-05-19 07:51:06
hard,Какой из этих языков не имеет падежей?,Финский,Латынь,Английский,Эстонский,2,2026-05-19 07:51:06
hard,Какое государство НЕ входит в G20?,Аргентина,Испания,Индонезия,Турция,1,2026-05-19 07:51:06
hard,Какой математический символ впервые ввёл Лейбниц?,√,∫,π,∞,1,2026-05-19 07:51:06
hard,Кто ввёл термин «геноцид»?,Рафаэль Лемкин,Ханна Арендт,Карл Ясперс,Эли Визель,0,2026-05-19 07:51:06
hard,Какой газ преобладает в атмосфере Марса?,Азот,Кислород,Углекислый газ,Метан,2,2026-05-19 07:51:06
hard,"Какой город называют «городом семи холмов», кроме Рима?",Париж,Москва,Константинополь,Афины,2,2026-05-19 07:51:06
hard,Что измеряет шкала Апгар?,Интеллект,Пульс,Состояние новорождённого,Давление,2,2026-05-19 07:51:06
hard,Какая из этих дат НЕ связана с холодной войной?,1947,1956,1962,1979,1,2026-05-19 07:51:06
hard,Какой материал использовался как замедлитель в первых ядерных реакторах?,Графит,Вода,Бериллий,Кадмий,0,2026-05-19 07:51:06
hard,Что означает латинское выражение «sub rosa»?,Под угрозой,В тайне,По закону,Свыше,1,2026-05-19 07:51:06
hard,Какое море не имеет береговой линии?,Саргассово,Чёрное,Каспийское,Красное,0,2026-05-19 07:51:06
hard,Какой из этих писателей НЕ получал Нобелевскую премию?,Альбер Камю,Борис Пастернак,Джеймс Джойс,Эрнест Хемингуэй,2,2026-05-19 07:51:06
hard,Что НЕ является постулатом специальной теории относительности?,Постоянство скорости света,Относительность времени,Эквивалентность массы и энергии,Отсутствие абсолютной системы отсчёта,2,2026-05-19 07:51:06
hard,Какое государство первым признало СССР?,Германия,Турция,Афганистан,Великобритания,2,2026-05-19 07:51:06
hard,Какой орган человека вырабатывает эритропоэтин?,Печень,Почки,Селезёнка,Костный мозг,1,2026-05-19 07:51:06
hard,Какая война длилась дольше всего официально?,Столетняя,Пуннические войны,Тридцатилетняя,Война с Нидерландами (Силли),3,2026-05-19 07:51:06
hard,Какой философ ввёл понятие «ноумен»?,Платон,Аристотель,Иммануил Кант,Георг Гегель,2,2026-05-19 07:51:06
hard,Какой элемент имеет наибольшее атомное число среди стабильных?,Свинец,Висмут,Уран,Торий,0,2026-05-19 07:51:06
hard,Какой город никогда не был столицей Римской империи?,Равенна,Милан,Никомедия,Афины,3,2026-05-19 07:51:06
hard,Какой принцип лежит в основе обнаружения гравитационных волн?,Интерференция света,Искривление пространства-времени,Квантовая запутанность,Доплеровский эффект,1,2026-05-19 07:51:06
hard,Какой из этих языков НЕ относится к индоевропейской языковой семье?,Армянский,Албанский,Венгерский,Персидский,2,2026-05-19 07:51:06
medium,Сколько стран входит в ООН?,190,192,193,195,2,2026-05-19 07:51:06
medium,Столица Камбоджи?,Бангкок,Пномпень,Ханой,Вьентьян,1,2026-05-19 07:51:06
medium,Родина пороха?,Индия,Китай,Египет,Греция,1,2026-05-19 07:51:06
medium,Первый президент США?,Авраам Линкольн,Томас Джефферсон,Джордж Вашингтон,Джон Адамс,2,2026-05-19 07:51:06
medium,"Кому принадлежит фраза «То, что не убивает нас, делает нас сильнее»?",Шекспир,Дарвин,Ницше,Фрейд,2,2026-05-19 07:51:06
medium,Сколько длилась Столетняя война?,100 лет,87 лет,116 лет,120 лет,2,2026-05-19 07:51:06
medium,Кто открыл теорию относительности времени?,Ньютон,Галилей,Эйнштейн,Максвелл,2,2026-05-19 07:51:06
medium,Длина Бурдж-Халифа?,728 м,800 м,828 м,900 м,2,2026-05-19 07:51:06
medium,Благодаря чему растения питаются энергией солнца?,Дыхание,Испарение,Фотосинтез,Опыление,2,2026-05-19 07:51:06
medium,Формула поваренной соли?,HCl,NaCl,CaCO3,NaOH,1,2026-05-19 07:51:06
medium,Первый президент России?,Горбачёв,Путин,Медведев,Ельцин,3,2026-05-19 07:51:06
medium,В какой стране больше всего самоубийств на душу населения?,Индия,США,Литва,Япония,2,2026-05-19 07:51:06
medium,За что в Python отвечает функция .pop()?,Добавляет элемент,Сортирует список,Удаляет и возвращает элемент,Копирует список,2,2026-05-19 07:51:06
medium,Кто написал картину «Звёздная ночь»?,Моне,Пикассо,Ван Гог,Дали,2,2026-05-19 07:51:06
medium,Что означает слово «реноме»?,Тайна,Репутация,Надежда,Риск,1,2026-05-19 07:51:06
medium,Какой инструмент является основным в симфоническом оркестре?,Саксофон,Флейта,Ударные,Скрипка,3,2026-05-19 07:51:06
medium,Какая страна НЕ имеет выхода к морю?,Португалия,Австрия,Греция,Италия,1,2026-05-19 07:51:06
medium,Какой город называют «Северной столицей» России?,Москва,Новосибирск,Санкт-Петербург,Казань,2,2026-05-19 07:51:06
medium,Кто был первым космонавтом в истории человечества?,Армстронг,Гагарин,Титов,Леонов,1,2026-05-19 07:51:06
medium,Как называется наука о грибах?,Ботаника,Микология,Зоология,Экология,1,2026-05-19 07:51:06
medium,Какое море является самым солёным?,Красное,Средиземное,Мёртвое,Чёрное,2,2026-05-19 07:51:06
medium,В каком виде спорта разыгрывается Кубок Дэвиса?,Футбол,Хоккей,Теннис,Баскетбол,2,2026-05-19 07:51:06
medium,Когда появилась первая ядерная бомба?,1939,1943,1945,1947,2,2026-05-19 07:51:06
medium,Самая известная картина в мире?,Звёздная ночь,Тайная вечеря,Мона Лиза,Крик,2,2026-05-19 07:51:06
medium,Кто написал произведение «Идиот»?,Толстой,Тургенев,Чехов,Достоевский,3,2026-05-19 07:51:06
medium,Какой металл является основным компонентом бронзы?,Железо,Алюминий,Медь,Олово,2,2026-05-19 07:51:06
medium,Какие семь смертных грехов есть в Библии?,"Вера, надежда, любовь","Гнев, гордыня, зависть, похоть, чревоугодие, алчность, уныние","Страх, боль, радость","Лень, сон, голод",1,2026-05-19 07:51:06
